ra,dec,mag,ci,name
5.041306,41.07583,3.75,1.220,Saclateni
5.011056,-2.06556,6.32,0.280,
5.013611,-5.75333,6.22,1.060,
5.055167,41.44167,6.14,0.160,
5.023972,-7.17389,4.81,-0.190,
5.030639,0.72222,5.92,1.270,
5.033333,1.60889,6.24,-0.040,
5.051583,21.59000,4.64,0.160,
5.023778,-20.05194,4.91,-0.050,
5.102361,58.97250,5.08,-0.080,
5.103389,59.02111,6.08,1.120,
5.108250,61.17000,6.04,1.370,
5.045972,-4.20972,5.85,1.210,
5.070694,30.49472,6.14,1.210,
5.036056,-26.27500,5.02,1.070,
4.919778,-74.93694,5.47,1.520,
5.026250,-39.71806,6.03,0.880,
5.072667,21.27806,6.19,1.320,
5.045806,-22.79500,5.75,1.200,
5.039667,-31.77139,5.94,1.170,
5.160194,69.63944,6.41,1.110,Mago
5.111278,51.59778,5.00,0.330,
5.076139,15.40417,4.68,-0.060,
5.064444,-14.36944,6.41,-0.180,
5.108583,41.23444,3.17,-0.180,Haedus
5.092250,19.80639,6.44,0.210,
5.206222,73.94667,5.43,-0.120,
5.113778,43.17472,6.20,0.430,
5.064806,-24.38778,5.61,0.100,
5.081806,-3.03972,6.05,-0.110,
5.162361,64.91944,6.41,0.400,
5.089917,1.17750,6.17,3.450,
5.046833,-49.15139,5.38,0.420,
5.243222,76.47278,6.37,-0.020,
5.065000,-41.74500,6.31,0.530,
5.073444,-35.48333,4.55,1.200,
5.073917,-35.70528,6.34,0.300,
5.091028,-22.37111,3.19,1.460,
5.087833,-26.15250,5.73,1.170,
5.124167,18.64500,5.00,0.650,
5.112694,-4.65500,5.12,-0.060,
5.130111,20.41833,5.30,0.090,
5.135167,24.26528,5.50,0.060,
5.132083,21.70472,5.89,0.190,
5.110194,-13.12194,6.05,-0.060,
5.127306,9.47194,6.17,0.620,
5.082778,-49.57778,5.03,1.490,
5.131361,8.49833,5.34,0.330,
5.123611,-12.49056,5.97,0.600,
5.130833,-5.08639,2.79,0.130,Cursa
5.083500,-54.40750,6.27,1.540,
5.178583,46.96222,5.68,0.420,
5.171917,37.30194,6.02,0.720,
5.162528,28.03056,6.01,0.270,
5.138944,-8.66500,5.78,-0.060,
5.155444,9.82944,5.43,0.240,
5.145444,-4.45611,5.12,0.440,
5.091833,-57.47278,4.72,0.520,
5.217556,61.85000,6.17,0.020,
5.161667,15.59722,4.82,0.320,
5.045278,-71.31444,5.31,1.000,
5.225361,62.69139,6.50,0.210,
5.152444,-8.75417,4.27,-0.190,
5.167556,-0.56528,6.10,1.100,
5.003667,-78.30028,6.29,1.510,
5.303694,73.26806,5.74,0.000,
5.194889,16.04556,5.18,1.490,
5.182778,-2.25389,6.25,0.980,
5.375972,79.23111,5.05,0.470,
5.188667,-2.49083,5.90,0.460,
5.253139,59.40556,6.15,1.180,
5.223806,38.48444,4.86,0.180,
5.195917,1.03694,5.89,0.660,
5.245639,53.21389,6.20,0.070,
5.189667,-11.84917,5.68,1.460,
5.179028,-25.90944,6.41,1.250,
5.126111,-63.39972,5.20,1.650,
5.204972,-11.86917,4.45,-0.100,
5.213389,-6.05722,5.91,0.960,
5.221528,2.86111,4.46,1.190,
5.102583,-73.03778,6.27,-0.010,
5.225444,1.96806,6.09,0.420,
5.215528,-16.20556,3.31,-0.110,
5.229778,0.56028,6.32,1.460,
5.225917,-8.14778,6.37,-0.130,
5.220528,-12.94139,4.36,-0.100,
5.256778,32.68778,5.02,0.230,
5.288278,53.58611,6.50,1.660,
5.278167,45.99806,0.08,0.800,Capella
5.245583,5.15611,5.50,1.370,
5.233306,-14.60667,6.21,0.370,
5.257694,22.28472,6.27,0.080,
5.271722,34.31194,5.96,0.220,
5.242306,-8.20167,0.12,-0.030,Rigel
4.980806,-82.47056,5.85,0.930,
5.255111,-1.40917,6.15,0.390,
5.267806,11.34139,5.56,-0.040,
5.324389,58.11722,6.13,-0.030,
5.339611,62.65361,5.61,1.750,
5.241333,-35.97722,5.76,1.010,
5.304417,42.79222,5.48,1.650,
5.256750,-26.94333,5.07,-0.100,
5.278083,1.94722,6.42,-0.020,
5.311222,40.46500,6.18,1.370,
5.302972,33.37167,4.54,1.270,
5.231472,-52.03111,6.05,1.390,
5.305250,33.76722,6.14,-0.060,
5.319028,40.09917,4.71,0.630,
5.316667,33.74833,5.41,-0.190,
5.323222,33.98556,6.49,0.240,
5.293444,-6.84444,3.60,-0.110,
5.294500,-13.51972,5.50,0.930,
5.337444,41.08611,5.52,0.110,
5.321278,22.09639,4.94,0.930,
5.333583,33.95806,5.03,0.270,
5.320750,20.13472,6.08,1.010,
5.260806,-52.18194,6.49,1.210,
5.291417,-34.89528,4.83,1.000,
5.229278,-67.18528,4.83,1.280,
5.319778,2.59583,5.34,0.410,
5.314000,-18.13000,5.96,0.580,
5.326444,-1.41222,6.34,-0.110,
5.363444,41.80444,5.23,-0.150,
5.349806,27.95722,6.33,0.040,
5.391056,57.54444,5.28,-0.030,
5.353528,29.57000,5.76,0.060,
5.321528,-18.52000,6.36,-0.160,
5.349056,19.81417,6.18,1.230,
5.326250,-13.17667,4.29,-0.260,
5.333083,-12.31556,5.30,-0.120,
5.323250,-27.36889,5.99,-0.040,
5.340667,-5.36667,6.39,-0.030,
5.380639,41.02944,5.54,0.120,
5.340806,-21.23944,4.71,-0.050,
5.362111,8.42861,5.80,-0.130,
5.358833,-0.41639,5.68,-0.120,
5.362694,-0.38250,4.73,-0.170,
5.339056,-34.69889,6.34,0.330,
5.322806,-50.60611,5.45,0.510,
5.389694,28.93667,6.46,-0.040,
5.380556,3.54444,5.00,-0.150,
5.362833,-24.77306,5.06,0.670,
5.354694,-34.34528,6.09,-0.190,
5.410889,37.38556,4.99,1.420,
5.393806,16.69944,6.08,0.140,
5.410639,31.22389,6.28,1.240,
5.410694,31.14306,5.94,0.040,
5.391972,5.32250,6.35,0.120,
5.388472,-8.41583,5.90,-0.030,
5.407056,17.38333,4.99,0.530,
5.395083,-0.15972,5.70,-0.210,
5.397611,-0.86722,6.11,0.500,
5.391722,-13.92722,5.25,-0.210,
5.399111,-7.80806,4.14,0.960,
5.386667,-26.70583,6.49,0.500,
5.410056,2.35278,6.32,-0.150,
5.408028,-0.89139,5.08,0.960,
5.407944,-2.39694,3.36,-0.170,
5.412444,1.84639,4.95,-0.200,
5.418861,6.34972,1.64,-0.220,Bellatrix
5.438194,28.60750,1.65,-0.130,Elnath
5.407889,-16.97611,5.65,0.000,
5.390000,-39.67861,5.71,1.620,
5.448417,35.45722,6.15,1.450,
5.446917,34.39167,5.94,0.140,
5.447583,33.26278,6.15,1.150,
5.434917,16.70028,6.25,-0.080,
5.417111,-10.32917,5.61,1.560,
5.372806,-56.13444,6.11,-0.100,
5.502833,63.06722,5.42,1.710,
5.429722,0.52083,6.16,-0.180,
5.452306,30.20861,5.74,0.160,
5.460806,34.47583,5.07,1.400,
5.434000,-5.51833,6.23,-0.060,
5.444111,6.86917,6.42,-0.020,
5.452806,17.96222,5.42,-0.100,
5.453833,15.25778,6.16,0.080,
5.460583,21.93694,4.88,-0.150,
5.447278,3.09556,4.59,-0.210,
5.433278,-19.69556,5.89,0.400,
5.415444,-44.22583,6.08,1.200,
5.462667,15.87417,5.50,0.010,
5.467111,17.23889,5.77,1.630,
5.451333,-11.90083,6.35,0.510,
5.412833,-52.31639,6.27,0.070,
5.476333,13.67889,6.35,0.150,
5.467111,1.29833,6.41,-0.180,
5.487917,25.15056,5.47,-0.040,
5.494611,29.18639,6.24,0.450,
5.460139,-21.37556,6.07,1.040,
5.513500,41.46194,6.00,1.110,
5.512528,39.82583,6.37,0.970,
5.482417,-3.30750,6.39,-0.010,
5.451472,-40.94361,5.87,0.230,
5.542722,57.22111,6.48,0.570,
5.470750,-20.75944,2.84,0.820,Nihal
5.489889,-3.44639,5.79,1.150,
5.512056,22.46250,6.29,1.180,
5.507250,15.36028,5.94,0.140,
5.498556,1.78917,5.78,-0.200,
5.495556,-1.09222,4.71,1.570,
5.470917,-37.23056,5.57,0.020,
5.438694,-58.91250,5.14,1.000,
5.505500,4.20417,6.21,1.270,
5.513083,5.94806,4.20,-0.140,
5.505750,-7.43472,6.33,-0.190,
5.520694,3.29222,5.46,-0.180,
5.545472,32.19194,4.76,0.340,
5.662139,75.04389,6.17,1.570,
5.536889,18.59444,4.38,2.070,
5.537278,17.05806,5.46,-0.040,
5.522472,-6.70833,6.22,-0.170,
5.518778,-20.86361,5.55,0.000,
5.557639,32.80111,6.48,0.090,
5.533444,-0.29917,2.23,-0.220,Mintaka
5.621167,66.69611,6.26,0.000,
5.560556,34.72583,6.27,0.150,
5.532167,-7.30139,4.62,-0.260,
5.502639,-47.07778,5.46,0.620,
5.620861,64.15472,6.15,0.010,
5.558778,18.54028,5.69,0.010,
5.450000,-68.62278,6.03,0.340,
5.560778,20.47417,6.18,-0.070,
5.544806,-1.59194,5.35,-0.190,
5.520194,-35.47056,3.87,1.140,
5.552000,-1.71833,6.46,-0.090,
5.565083,14.30556,5.64,-0.140,
5.545500,-17.82222,2.58,0.210,Arneb
5.609778,54.42889,5.73,1.630,
5.558722,-1.15611,5.34,-0.180,
5.604417,47.71528,6.11,0.260,
5.526694,-45.92528,5.86,1.350,
5.571306,3.76694,5.36,0.050,
5.567750,-1.03556,6.22,-0.170,
5.567778,-1.47056,5.93,1.550,
5.590861,24.03944,5.38,-0.090,
5.580333,9.48944,4.41,-0.160,
5.547583,-38.51306,5.48,1.220,
5.598750,27.66222,6.27,1.540,
5.585639,9.93417,3.54,-0.180,Meissa
5.585694,9.93500,5.61,0.040,Meissa
5.552056,-35.13972,5.78,1.070,
5.504417,-63.92778,6.19,0.220,
5.587056,10.24000,5.60,0.120,
5.614556,40.18222,6.09,1.030,
6.022278,85.18222,6.11,1.570,
5.583583,-6.00917,5.67,-0.230,
5.584083,-6.00194,4.78,-0.250,
5.608389,25.93944,6.49,0.430,
5.589583,-4.42528,6.24,-0.150,
5.589778,-4.83833,4.59,-0.190,
5.587917,-5.38972,5.13,0.020,
5.589694,-5.41611,5.08,-0.090,
5.591972,-4.36472,6.38,-0.140,
5.590556,-5.91000,2.77,-0.240,Hatysa
5.593278,-3.25278,6.40,-0.120,
5.594306,-4.85583,5.26,0.240,
5.619111,26.92417,5.83,-0.070,
5.603556,-1.20194,1.70,-0.190,Alnilam
5.629361,33.55917,6.33,1.310,
5.617722,17.04028,5.54,0.220,
5.615083,9.29056,4.09,0.950,
5.617889,11.03500,5.94,1.580,
5.587611,-33.08000,5.78,1.120,
5.627417,21.14250,3.00,-0.190,Tianguan
5.609917,-6.06500,5.72,-0.220,
5.562333,-54.90222,6.43,0.550,
5.622028,8.95194,6.12,-0.170,
5.643917,30.49250,5.40,0.450,
5.602861,-28.70778,6.26,0.130,
5.707333,65.69778,5.60,1.240,
5.549889,-64.22750,5.34,1.040,
5.624278,-5.93833,6.05,-0.220,
5.619111,-11.77556,6.11,0.050,
5.633639,7.54139,5.88,-0.070,
5.649278,26.61778,6.37,0.000,
5.560417,-62.48972,3.76,0.820,
5.631500,-4.81361,6.19,-0.040,
5.655111,29.21528,5.96,0.160,
5.688972,53.48111,6.23,0.840,
5.621250,-27.87139,6.16,0.340,
5.600750,-47.31389,6.11,1.160,
5.662278,25.89694,5.18,-0.150,
5.657500,21.76278,6.34,0.060,
5.645778,-2.60000,3.81,-0.240,
5.643833,-6.57389,5.96,-0.230,
5.653083,4.12139,4.57,-0.110,
5.629056,-28.68944,5.31,0.460,
5.582667,-61.17583,6.32,0.850,
5.648083,-7.21306,4.80,0.130,
5.676639,31.35806,6.04,0.040,
5.678361,31.92083,6.11,2.120,
5.658667,-3.56472,6.00,0.270,
5.717111,56.58167,6.05,0.950,
5.658556,-9.70667,6.50,-0.100,
5.735722,61.47667,6.15,0.900,
5.654528,-17.84944,6.38,-0.120,
5.689167,29.48750,6.43,-0.110,
5.688250,16.53389,4.86,-0.130,
5.645444,-40.70750,5.82,-0.090,
5.679306,-1.94278,2.05,-0.210,Alnitak
5.679333,-1.94278,4.21,0.000,Alnitak
5.677028,-2.82500,6.22,-0.200,
5.680722,-1.12889,4.95,-0.210,
5.531361,-76.34111,5.19,1.130,
5.701083,22.66028,6.36,0.000,
5.684889,0.33778,5.93,0.300,
5.660806,-34.07417,2.64,-0.120,Phact
5.663833,-32.62917,5.45,0.920,
5.694528,-2.89611,6.42,0.300,
5.615194,-66.56028,6.31,-0.070,
5.722083,23.20417,6.21,-0.060,
5.694861,-16.72556,6.21,-0.130,
5.707944,1.47472,4.91,1.170,
5.579083,-73.74139,5.78,1.710,
5.703972,-17.53028,6.15,1.380,
5.690833,-33.40056,6.34,-0.040,
5.714944,-6.79611,6.02,0.400,
5.703861,-22.37361,5.87,0.110,
5.775111,56.11556,5.94,0.170,
5.719250,-1.61306,6.31,1.470,
5.765000,49.82639,5.47,0.030,
5.703222,-30.53556,6.19,0.010,
5.704194,-34.66778,5.29,-0.050,
5.722667,-18.55750,5.73,-0.010,
5.818028,62.80806,6.13,0.000,
5.750528,4.00806,6.09,0.310,
5.787417,42.52667,6.29,1.350,
5.741222,-20.12639,6.34,0.580,
5.725056,-39.40694,6.25,0.370,
5.740694,-22.42167,6.15,0.940,
5.741056,-22.44833,3.60,0.470,
5.728083,-45.83306,6.39,0.290,
5.779306,15.82250,6.00,-0.060,
5.767444,-4.26833,6.34,1.050,
5.781139,9.52222,5.79,0.880,
5.776389,1.16806,5.95,0.780,
5.787000,14.48833,5.72,0.040,
5.790611,17.72917,5.49,0.300,
5.593417,-78.82083,6.05,-0.020,
5.795250,13.89972,5.29,-0.170,
5.882083,68.47139,6.20,0.950,
5.819583,39.18111,4.52,0.940,
5.766639,-32.30639,5.17,-0.280,
5.806222,20.86944,6.07,-0.080,
5.782583,-14.82194,3.55,0.100,
5.800056,6.45417,5.27,0.230,
5.785444,-16.23778,6.17,0.890,
5.790750,-10.53306,6.03,0.160,
5.816944,24.56750,4.86,1.010,
5.849000,51.51472,6.29,1.050,
5.795944,-9.66972,2.06,-0.170,Saiph
5.784639,-28.63917,6.22,-0.150,
5.871500,58.96417,6.14,-0.040,
5.809694,-4.09472,5.97,0.640,
5.774278,-46.59722,5.31,1.040,
5.788500,-35.67472,6.32,1.180,
5.825806,12.65111,4.91,-0.070,
5.850667,37.30556,4.74,1.620,
5.858167,39.14861,3.97,1.130,
5.849472,27.96778,5.56,0.970,
5.834056,9.87111,5.80,0.870,
5.746222,-65.73556,4.35,0.210,
5.841361,14.30556,5.52,1.010,
5.857139,32.12500,6.25,1.750,
5.836972,4.42333,5.97,1.360,
5.788083,-51.06639,3.85,0.170,
5.826806,-14.48361,5.49,0.880,
5.619389,-80.46917,5.65,0.600,
5.786944,-54.36083,6.18,1.400,
5.841667,2.02444,5.98,0.910,
5.877639,39.57444,6.45,0.090,
5.831528,-22.97167,5.87,0.060,
5.916056,59.88833,5.20,0.020,
5.877806,33.91750,5.98,1.600,
5.914111,55.70694,4.99,0.050,
5.873167,19.86806,6.06,0.540,
5.856111,-7.51806,5.35,-0.200,
5.826139,-44.87528,6.38,1.270,
5.872861,14.17167,5.59,-0.050,
5.888778,27.61222,4.58,-0.020,
5.855361,-20.87917,3.81,0.990,
5.857944,-22.92611,6.17,1.020,
5.874000,1.85500,4.78,1.380,
5.868778,-9.04139,5.97,0.100,
5.849333,-35.76833,3.12,1.160,Wazn
5.959722,66.09611,6.25,1.360,
5.830472,-56.16667,4.51,1.100,
5.866528,-29.44861,6.45,1.480,
5.841278,-52.76778,6.35,0.760,
5.937333,51.80389,6.49,0.000,
5.916389,31.70167,5.90,0.140,
5.906361,20.27611,4.41,0.590,
5.903722,10.58694,6.12,1.470,
5.848111,-52.10889,5.17,0.990,
5.904361,3.22528,6.31,1.290,
5.915750,19.74972,5.92,-0.170,
5.875889,-37.63111,5.63,1.040,
5.951361,49.02944,6.47,0.990,
5.885250,-33.80139,4.87,-0.150,
5.912250,0.96833,6.00,1.340,
5.503861,-84.78500,6.20,-0.020,
5.919528,7.40694,0.50,1.850,Betelgeuse
5.930361,20.17500,5.40,0.990,
5.831556,-66.90111,5.11,-0.140,
5.912111,-11.77389,5.66,1.530,
5.942722,28.94222,6.32,0.300,
5.903917,-29.14778,6.36,0.370,
5.925083,-4.61639,5.87,1.180,
5.926500,-4.78833,6.28,0.060,
5.872306,-57.15611,5.94,0.660,
5.856389,-64.03361,6.36,0.860,
5.948917,24.24972,6.02,0.390,
5.941111,9.50972,5.99,-0.070,
5.947083,11.52111,5.87,1.100,
5.992111,54.28472,3.72,1.000,
6.085917,75.58583,6.40,0.000,
5.996028,55.32083,6.44,0.310,
5.996694,54.54722,6.14,1.200,
5.989389,49.92444,5.89,1.230,
5.914583,-39.95806,5.57,1.510,
5.966583,25.95389,4.82,-0.060,
5.940083,-14.16778,3.71,0.330,
5.937306,-22.84028,5.96,1.110,
5.924972,-37.12083,4.97,1.110,
5.992139,44.94750,1.90,0.030,Menkalinan
5.911417,-49.62694,6.10,-0.130,
5.942917,-23.21556,6.36,1.070,
5.998917,45.93694,4.26,1.720,
5.939139,-31.38250,5.50,0.000,
5.965056,1.22444,6.22,1.480,
5.913944,-52.63528,5.29,0.310,
5.995361,37.21250,2.62,-0.080,Mahasim
6.005278,44.59194,6.22,0.000,
5.969917,-0.99417,6.22,1.140,
5.946944,-31.97611,6.44,1.070,
5.981444,12.80861,5.70,0.890,
5.973444,1.83694,5.90,0.210,
6.016278,47.90194,5.73,-0.010,
5.901694,-63.09000,4.65,1.050,
5.980444,0.55306,5.22,0.010,
6.028639,48.95944,5.96,1.450,
5.958944,-35.28333,4.36,-0.180,
5.983611,-9.38222,6.12,0.290,
5.984528,-9.55833,5.03,0.190,
6.019500,31.03472,5.98,0.080,
6.016778,27.57222,6.05,0.250,
6.046861,49.90556,6.05,-0.060,
6.000944,-3.07417,4.53,1.220,
5.954000,-53.42611,6.45,1.480,
6.048222,43.37861,6.42,0.000,
6.028222,22.40083,6.37,-0.070,
5.977111,-44.03444,5.81,1.070,
6.004917,-12.89972,6.22,0.360,
6.055000,42.91167,6.10,0.970,
5.985778,-42.81528,3.96,1.140,
6.085639,59.39306,6.34,1.100,
6.048639,32.63583,6.24,0.420,
6.074750,51.57333,6.45,0.180,
6.039722,9.64750,4.12,0.160,
5.837972,-79.36139,5.47,-0.080,
6.110889,63.45361,6.39,0.000,
6.030667,-10.59806,4.95,-0.120,
6.020306,-25.41778,6.05,0.020,
6.057583,19.69056,5.14,-0.110,
6.021222,-33.91167,5.55,1.580,
6.084278,42.98167,5.87,0.300,
6.056861,11.68083,6.08,-0.040,
6.068667,23.26333,4.16,0.820,
6.065333,20.13833,4.63,0.280,
6.042722,-14.49722,6.20,0.960,
6.084056,37.96417,6.34,0.000,
6.013667,-51.21639,5.67,0.200,
6.092778,33.59917,6.23,-0.080,
6.054306,-26.28444,5.04,1.340,
6.102361,35.38750,6.12,0.600,
6.070417,-6.70917,5.21,-0.060,
6.109750,38.48278,5.36,0.250,
6.082833,5.42000,5.67,1.040,
6.082889,4.15861,5.63,1.040,
6.106250,29.51250,6.08,1.730,
6.124139,41.85417,6.12,1.220,
6.083083,-16.48444,4.93,0.240,
6.072306,-32.17250,5.65,-0.190,
6.090833,-10.24278,5.87,0.370,
6.035889,-60.09694,6.45,1.580,
6.166417,58.93583,5.36,1.090,
6.139722,41.05556,6.36,1.050,
6.110750,-4.19389,5.38,-0.130,
6.102583,-14.93528,4.67,0.050,
6.074556,-45.03667,6.35,0.520,
6.077833,-45.07889,5.93,0.490,
6.126194,14.76833,4.42,-0.170,
6.090861,-35.51361,5.80,0.020,
6.108889,-23.11056,5.47,0.080,
6.101528,-29.75861,5.81,0.050,
6.214194,65.71833,5.32,1.340,
6.116000,-21.81278,5.78,1.640,
6.128222,-19.16583,5.31,1.680,
6.159000,22.19000,5.93,1.630,
6.117694,-34.31194,5.83,-0.130,
6.111389,-42.29861,6.12,0.250,
6.196111,52.64722,6.30,0.140,
6.162222,23.11333,5.75,0.210,
6.149417,2.49944,5.73,0.070,
6.193500,48.71111,6.09,0.100,
6.125444,-37.25306,5.02,-0.110,Elkurud
6.160056,-5.71111,6.17,0.340,
6.149417,-22.42750,5.50,-0.010,
6.131361,-42.15389,5.50,0.000,
6.155639,-18.12611,6.35,-0.030,
6.159528,-14.58417,5.56,1.160,
6.183833,18.12944,6.33,1.350,
6.192306,24.42028,5.80,1.110,
6.163306,-22.77417,5.71,0.440,
6.142944,-44.35611,6.27,-0.150,
6.229250,51.17250,6.04,1.060,
6.205583,32.69333,5.78,1.660,
6.191083,13.63861,6.04,0.000,
6.163111,-26.70083,6.27,1.010,
6.200361,19.79056,5.75,-0.070,
6.102611,-66.03972,5.71,-0.030,
6.183694,-6.75417,6.15,0.010,
6.117611,-62.15472,5.05,1.250,
6.205306,22.90833,6.39,2.240,
6.200917,16.13056,4.95,-0.140,
6.199000,14.20889,4.48,-0.180,
6.176278,-27.15417,5.72,1.070,
6.261278,59.99917,5.35,1.340,
6.195472,-4.66556,6.18,-0.080,
6.169528,-40.35361,5.58,1.680,
6.156472,-49.56278,6.49,0.520,
6.197722,-6.55028,5.05,-0.200,
6.187083,-26.48222,6.09,-0.040,
6.220167,10.62750,6.45,0.670,
6.314111,69.31972,4.80,0.030,
6.177750,-45.28194,6.31,-0.030,
6.171639,-54.96861,4.81,-0.230,
6.241278,17.90639,5.88,0.220,
6.298556,61.51528,4.98,1.830,
6.247944,22.50667,3.28,1.600,Propus
6.231750,-3.74139,5.83,0.940,
6.256306,29.49806,4.35,1.020,
6.247472,19.15639,5.20,0.440,
6.145611,-68.84333,5.06,-0.080,
6.252361,13.85111,5.91,-0.230,
6.256972,16.14306,5.30,-0.140,
6.243528,-4.56833,5.83,-0.170,
6.229194,-23.86194,6.39,0.720,
6.247583,-6.27472,3.98,1.320,
6.262500,12.55111,5.33,-0.020,
6.271944,23.97000,6.08,0.900,
6.261139,6.06611,6.07,-0.130,
6.259528,-0.51222,5.65,0.500,
6.258250,-4.91528,5.99,0.090,
6.273278,17.18139,6.39,1.580,
6.265000,1.16917,6.37,0.460,
6.257222,-9.03528,6.10,-0.080,
6.327056,59.01083,4.48,0.010,
6.304694,46.36056,6.38,1.110,
6.282972,23.74083,6.25,0.450,
6.274056,12.27222,5.04,0.420,
6.252333,-20.27222,5.91,1.320,
6.254861,-18.47667,5.99,1.060,
6.262472,-13.71833,5.01,-0.080,
6.187500,-65.58944,5.01,1.620,
6.285167,9.94250,5.39,0.100,
6.268806,-16.61778,5.92,-0.170,
6.287806,5.10028,5.71,0.610,
6.301556,14.38278,6.16,0.010,
6.284306,-22.71500,6.07,0.560,
6.275861,-35.14056,4.37,1.000,
6.367667,59.37222,5.94,0.000,
6.317167,17.32500,6.32,-0.070,
6.311250,9.04722,6.24,0.870,
6.294917,-16.81583,5.14,1.300,
6.170667,-74.75306,5.09,0.720,
6.276556,-39.26444,6.00,0.160,
6.283667,-37.73750,5.53,1.140,
6.362806,53.45222,5.36,0.430,
6.285972,-37.25306,5.87,0.140,
6.303806,-19.96694,5.52,-0.180,
6.314056,-9.39028,5.36,1.240,
6.313556,-15.02472,6.06,1.660,
6.334500,14.65111,5.69,1.610,
6.318861,-8.58639,6.22,-0.040,
6.316389,-20.92611,5.81,-0.150,
6.353361,29.54111,6.43,0.060,
6.328556,-7.82306,5.27,-0.190,
6.271806,-59.21361,6.43,0.590,
6.333222,-2.94444,4.90,1.600,
6.357194,17.76361,6.35,0.000,
6.297694,-52.73306,6.41,1.460,
6.328056,-34.39667,5.78,-0.080,
6.357167,2.26861,6.31,0.240,
6.338556,-30.06333,3.02,-0.190,Furud
6.356861,-11.77333,5.64,-0.020,
6.470722,70.53556,5.97,0.000,
6.382667,22.51361,2.88,1.640,Tejat
6.376806,12.57000,6.00,0.000,
6.343417,-34.14389,5.53,-0.190,
6.414972,49.28806,4.91,1.970,
6.440500,56.28500,5.64,0.240,
6.388472,3.76444,6.40,-0.150,
6.446917,58.41722,5.21,1.530,
6.378333,-17.95583,1.98,-0.230,Mirzam
6.368556,-33.43639,3.85,0.880,
6.396139,4.59278,4.44,0.180,
6.400639,8.88472,6.26,-0.080,
6.393333,-9.87444,6.19,1.840,
6.414694,16.05694,6.33,1.080,
6.396111,-15.07167,6.24,1.530,
6.425806,23.32694,6.06,-0.030,
6.402861,-11.53028,5.22,1.240,
6.387333,-31.79000,6.34,0.890,
6.424472,14.72194,6.24,2.340,
6.405694,-12.96250,6.12,-0.080,
6.420306,7.08583,5.98,1.220,
6.398861,-25.57778,5.63,1.560,
6.421222,-0.94611,5.87,0.560,
6.400278,-36.70778,5.62,1.040,
6.429750,-3.88917,6.35,1.020,
6.412194,-28.78000,6.39,0.620,
6.459861,32.56306,6.43,1.260,
6.382167,-56.37000,5.61,0.240,
6.433000,-7.89417,6.40,0.140,
6.393806,-52.18111,5.98,1.040,
6.412361,-40.28417,6.31,-0.050,
6.444333,-1.50722,5.87,0.080,
6.442917,-4.59722,6.15,-0.140,
6.399194,-52.69583,-0.72,0.150,Canopus
6.445806,-7.51139,6.27,-0.040,
6.424972,-35.06389,6.25,1.360,
6.465722,20.49611,6.22,0.010,
6.513111,58.16278,5.88,0.940,
6.476139,30.49306,5.55,0.680,
6.455667,2.90806,5.55,1.040,
6.453833,0.29917,5.20,1.180,
6.454333,-0.27611,5.55,1.380,
6.396361,-58.54389,6.48,0.120,
6.383694,-63.68306,6.27,1.600,
6.500833,46.68556,5.90,1.440,
6.482389,26.96778,6.47,0.000,
6.474444,16.23833,6.23,0.900,
6.471889,10.30389,6.15,1.150,
6.482722,20.21222,4.15,-0.130,
6.466000,-4.76222,5.06,-0.170,
6.403806,-60.28111,5.80,0.000,
6.471333,1.91222,6.48,-0.070,
6.428778,-48.17722,5.76,-0.060,
6.453111,-25.85667,6.07,0.530,
6.377278,-69.98417,5.56,1.510,
6.452083,-37.89556,6.48,0.390,
6.407306,-63.42889,6.46,0.660,
6.487472,2.64611,6.16,1.540,
6.480278,-7.03278,4.60,-0.100,
6.480417,-7.03444,5.40,-0.070,
6.480417,-7.03444,5.60,0.000,
6.477028,-17.46611,5.77,1.120,
6.415444,-63.82778,6.27,-0.130,
6.469472,-32.58000,4.48,-0.170,
6.674667,77.99583,5.73,1.470,
6.477556,-32.37111,5.74,-0.170,
6.631917,73.69556,6.24,0.380,
6.519472,16.93861,6.20,1.160,
6.503139,-10.08139,5.93,1.380,
6.478417,-41.07444,6.32,0.400,
6.451111,-58.00222,5.82,1.280,
6.519306,11.25083,6.14,-0.080,
6.527056,15.90333,6.40,0.000,
6.540889,32.45472,5.87,0.140,
6.509639,-13.14806,6.16,-0.150,
6.530083,11.54444,5.23,0.150,
6.575778,55.35306,6.45,0.000,
6.424611,-69.69028,5.38,0.970,
6.539806,11.67361,6.03,1.070,
6.523056,-12.39167,5.15,1.270,
6.512861,-27.76944,5.93,-0.150,
6.530583,-8.15806,5.43,1.380,
6.538667,4.85583,5.84,0.990,
6.561861,33.02417,6.42,0.030,
6.496972,-50.23917,5.27,0.410,
6.548389,7.33306,4.50,0.000,
6.539750,-5.86889,5.60,0.250,
6.530917,-23.41833,4.33,-0.240,
6.520278,-35.25917,5.84,0.810,
6.491250,-56.85278,5.22,1.090,
6.516611,-40.91639,6.20,1.400,
6.560028,14.15528,5.53,1.110,
6.546361,-11.16639,6.24,1.110,
6.526389,-36.94000,6.34,1.630,
6.628167,61.48111,5.94,0.890,
6.560528,-1.22028,5.10,-0.140,
6.675611,71.74889,5.92,1.190,
6.544167,-32.03056,5.69,-0.170,
6.586694,28.02222,5.27,-0.030,
6.539250,-37.69667,5.24,1.000,
6.521750,-51.82611,5.60,0.540,
6.770583,79.56472,5.45,0.500,
